"","RunName","win60s","c"
"550","A_M1005YM03_2S2RNA",31,311
"551","A_M1005YM03_2S2RNA",32,311
"552","A_M1005YM03_2S2RNA",33,311
"553","A_M1005YM03_2S2RNA",34,311
"554","A_M1005YM03_2S2RNA",35,311
"555","A_M1005YM03_2S2RNA",36,311
"556","A_M1005YM03_2S2RNA",37,311
"557","A_M1005YM03_2S2RNA",38,311
"558","A_M1005YM03_2S2RNA",39,311
"559","A_M1005YM03_3S1RNA",1,102
"560","A_M1005YM03_3S1RNA",2,102
"561","A_M1005YM03_3S1RNA",3,103
"562","A_M1005YM03_3S1RNA",4,104
"563","A_M1005YM03_3S1RNA",5,104
"564","A_M1005YM03_3S1RNA",6,105
"565","A_M1005YM03_3S1RNA",7,106
"566","A_M1005YM03_3S1RNA",8,106
"567","A_M1005YM03_3S1RNA",9,202
"568","A_M1005YM03_3S1RNA",10,203
"569","A_M1005YM03_3S1RNA",11,203
"570","A_M1005YM03_3S1RNA",12,203
"571","A_M1005YM03_3S1RNA",13,203
"572","A_M1005YM03_3S1RNA",14,205
"573","A_M1005YM03_3S1RNA",15,205
"574","A_M1005YM03_3S1RNA",16,205
"575","A_M1005YM03_3S1RNA",17,206
"576","A_M1005YM03_3S1RNA",18,301
"577","A_M1005YM03_3S1RNA",19,304
"578","A_M1005YM03_3S1RNA",20,304
"579","A_M1005YM03_3S1RNA",21,304
"580","A_M1005YM03_3S1RNA",22,305
"581","A_M1005YM03_3S1RNA",23,306
"582","A_M1005YM03_3S1RNA",24,306
"583","A_M1005YM03_3S1RNA",25,308
"584","A_M1005YM03_3S1RNA",26,308
"585","A_M1005YM03_3S1RNA",27,311
"586","A_M1005YM03_3S1RNA",28,311
"587","A_M1005YM03_3S1RNA",29,311
"588","A_M1005YM03_3S1RNA",30,311
"589","A_M1005YM03_3S1RNA",31,311
"590","A_M1005YM03_3S1RNA",32,311
"591","A_M1005YM03_3S1RNA",33,311
"592","A_M1005YM03_3S1RNA",34,311
"593","A_M1005YM03_3S1RNA",35,311
"594","A_M1005YM03_3S1RNA",36,311
"595","A_M1005YM03_3S1RNA",37,311
"596","A_M1006YM03_1S3RNA",1,111
"597","A_M1006YM03_1S3RNA",2,111
"598","A_M1006YM03_1S3RNA",3,105
"599","A_M1006YM03_1S3RNA",4,102
"600","A_M1006YM03_1S3RNA",5,102
"601","A_M1006YM03_1S3RNA",6,102.5
"602","A_M1006YM03_1S3RNA",7,103
"603","A_M1006YM03_1S3RNA",8,106
"604","A_M1006YM03_1S3RNA",9,106
"605","A_M1006YM03_1S3RNA",10,106
