,RunName,win60s,drowsy,new,c,0,1
185,A_M1003YM02_1S2RNA,10,False,10A_M1003YM02_1S2RNA,106.0,0.11595101,0.88404894
186,A_M1003YM02_1S2RNA,11,False,11A_M1003YM02_1S2RNA,201.0,0.9834305,0.016569532
187,A_M1003YM02_1S2RNA,12,False,12A_M1003YM02_1S2RNA,203.0,0.9129793,0.087020725
188,A_M1003YM02_1S2RNA,13,False,13A_M1003YM02_1S2RNA,203.0,0.56726164,0.43273833
189,A_M1003YM02_1S2RNA,14,False,14A_M1003YM02_1S2RNA,203.0,0.58746225,0.41253784
190,A_M1003YM02_1S2RNA,15,False,15A_M1003YM02_1S2RNA,203.0,0.9970931,0.0029069341
191,A_M1003YM02_1S2RNA,16,False,16A_M1003YM02_1S2RNA,204.0,0.9706797,0.029320361
192,A_M1003YM02_1S2RNA,17,False,17A_M1003YM02_1S2RNA,205.0,0.94495964,0.0550404
193,A_M1003YM02_1S2RNA,18,False,18A_M1003YM02_1S2RNA,205.0,0.9606125,0.0393875
194,A_M1003YM02_1S2RNA,19,False,19A_M1003YM02_1S2RNA,205.0,0.9984687,0.001531267
195,A_M1003YM02_1S2RNA,20,False,20A_M1003YM02_1S2RNA,301.0,0.99984956,0.00015040326
196,A_M1003YM02_1S2RNA,21,False,21A_M1003YM02_1S2RNA,304.0,0.9999964,3.5201615e-06
197,A_M1003YM02_1S2RNA,22,False,22A_M1003YM02_1S2RNA,304.0,0.9999862,1.3782399e-05
198,A_M1003YM02_1S2RNA,23,False,23A_M1003YM02_1S2RNA,304.0,0.99999964,3.7185342e-07
199,A_M1003YM02_1S2RNA,24,False,24A_M1003YM02_1S2RNA,304.0,0.9998573,0.00014270686
200,A_M1003YM02_1S2RNA,25,False,25A_M1003YM02_1S2RNA,305.0,0.028240178,0.97175986
201,A_M1003YM02_1S2RNA,26,False,26A_M1003YM02_1S2RNA,306.0,0.99729735,0.0027026448
202,A_M1003YM02_1S2RNA,27,False,27A_M1003YM02_1S2RNA,306.0,0.99998355,1.6419195e-05
203,A_M1003YM02_1S2RNA,28,False,28A_M1003YM02_1S2RNA,308.0,0.9911658,0.008834219
204,A_M1003YM02_1S2RNA,29,False,29A_M1003YM02_1S2RNA,308.0,0.950864,0.049135953
205,A_M1003YM02_2S3RNA,1,False,1A_M1003YM02_2S3RNA,111.0,0.99944884,0.0005512071
206,A_M1003YM02_2S3RNA,2,False,2A_M1003YM02_2S3RNA,111.0,0.9992453,0.0007546875
207,A_M1003YM02_2S3RNA,3,False,3A_M1003YM02_2S3RNA,111.0,0.8403804,0.15961957
208,A_M1003YM02_2S3RNA,4,False,4A_M1003YM02_2S3RNA,102.0,0.9532421,0.046757914
209,A_M1003YM02_2S3RNA,5,False,5A_M1003YM02_2S3RNA,102.0,0.9961288,0.0038711703
210,A_M1003YM02_2S3RNA,6,False,6A_M1003YM02_2S3RNA,102.0,0.99999774,2.264592e-06
211,A_M1003YM02_2S3RNA,7,False,7A_M1003YM02_2S3RNA,103.0,0.9300482,0.069951765
212,A_M1003YM02_2S3RNA,8,False,8A_M1003YM02_2S3RNA,103.0,0.31898305,0.681017
213,A_M1003YM02_2S3RNA,9,False,9A_M1003YM02_2S3RNA,104.0,0.99999905,9.3336365e-07
214,A_M1003YM02_2S3RNA,10,False,10A_M1003YM02_2S3RNA,106.0,0.9928779,0.0071221166
215,A_M1003YM02_2S3RNA,11,False,11A_M1003YM02_2S3RNA,106.0,0.99794084,0.0020592022
216,A_M1003YM02_2S3RNA,12,False,12A_M1003YM02_2S3RNA,202.0,0.9999982,1.8470208e-06
217,A_M1003YM02_2S3RNA,13,False,13A_M1003YM02_2S3RNA,203.0,0.1674109,0.8325891
218,A_M1003YM02_2S3RNA,14,False,14A_M1003YM02_2S3RNA,203.0,0.28368664,0.71631336
219,A_M1003YM02_2S3RNA,15,False,15A_M1003YM02_2S3RNA,203.0,0.9211195,0.078880444
220,A_M1003YM02_2S3RNA,16,False,16A_M1003YM02_2S3RNA,203.0,0.5326353,0.46736476
221,A_M1003YM02_2S3RNA,17,False,17A_M1003YM02_2S3RNA,205.0,0.9999881,1.1896125e-05
222,A_M1003YM02_2S3RNA,18,False,18A_M1003YM02_2S3RNA,205.0,0.9999274,7.261954e-05
223,A_M1003YM02_2S3RNA,19,False,19A_M1003YM02_2S3RNA,205.0,0.72959465,0.27040538
224,A_M1003YM02_2S3RNA,20,False,20A_M1003YM02_2S3RNA,206.0,0.99970055,0.0002995164
225,A_M1003YM02_2S3RNA,21,False,21A_M1003YM02_2S3RNA,301.0,0.9999833,1.6687922e-05
226,A_M1003YM02_2S3RNA,22,False,22A_M1003YM02_2S3RNA,304.0,1.0,5.549385e-09
227,A_M1003YM02_2S3RNA,23,False,23A_M1003YM02_2S3RNA,304.0,0.9979791,0.0020209248
228,A_M1003YM02_2S3RNA,24,False,24A_M1003YM02_2S3RNA,304.0,0.9918419,0.008158085
229,A_M1003YM02_2S3RNA,25,False,25A_M1003YM02_2S3RNA,304.0,0.9999198,8.023308e-05
230,A_M1003YM02_2S3RNA,26,False,26A_M1003YM02_2S3RNA,306.0,0.9951375,0.004862533
231,A_M1003YM02_2S3RNA,27,False,27A_M1003YM02_2S3RNA,306.0,0.5165679,0.48343217
232,A_M1003YM02_2S3RNA,28,False,28A_M1003YM02_2S3RNA,306.0,0.99952877,0.00047120423
233,A_M1003YM02_2S3RNA,29,False,29A_M1003YM02_2S3RNA,307.0,0.7258362,0.27416375
234,A_M1003YM02_3S1RNA,1,False,1A_M1003YM02_3S1RNA,102.0,0.99999976,2.0648501e-07
235,A_M1003YM02_3S1RNA,2,False,2A_M1003YM02_3S1RNA,102.0,0.9997267,0.0002732406
236,A_M1003YM02_3S1RNA,3,False,3A_M1003YM02_3S1RNA,103.0,0.2678729,0.7321271
237,A_M1003YM02_3S1RNA,4,False,4A_M1003YM02_3S1RNA,103.0,0.11983698,0.88016295
238,A_M1003YM02_3S1RNA,5,False,5A_M1003YM02_3S1RNA,104.0,1.0,3.8669263e-13
239,A_M1003YM02_3S1RNA,6,False,6A_M1003YM02_3S1RNA,104.0,0.97826916,0.021730907
240,A_M1003YM02_3S1RNA,7,False,7A_M1003YM02_3S1RNA,106.0,0.9999958,4.169141e-06
241,A_M1003YM02_3S1RNA,8,False,8A_M1003YM02_3S1RNA,106.0,0.9914511,0.008548945
242,A_M1003YM02_3S1RNA,9,False,9A_M1003YM02_3S1RNA,106.0,0.99972516,0.00027476964
243,A_M1003YM02_3S1RNA,10,False,10A_M1003YM02_3S1RNA,202.0,0.99800485,0.0019951435
244,A_M1003YM02_3S1RNA,11,False,11A_M1003YM02_3S1RNA,203.0,0.8002553,0.19974473
245,A_M1003YM02_3S1RNA,12,False,12A_M1003YM02_3S1RNA,203.0,0.87294346,0.12705654
246,A_M1003YM02_3S1RNA,13,False,13A_M1003YM02_3S1RNA,203.0,0.83576393,0.16423607
247,A_M1003YM02_3S1RNA,14,False,14A_M1003YM02_3S1RNA,204.0,0.91859263,0.081407405
